EntryTime,Expiry,Type,Strike,Direction,PnL
2024-09-26T14:00:00.0,2024-09-27T20:00:00.0,Call,578.0,-1,0.28
2024-09-26T14:00:00.0,2024-09-27T20:00:00.0,Put,563.0,1,-0.11
2024-09-26T14:00:00.0,2024-09-27T20:00:00.0,Call,581.0,1,-0.07999999999999999
2024-09-27T14:00:00.0,2024-09-27T20:00:00.0,Put,570.0,-1,0.21
2024-09-27T14:00:00.0,2024-09-27T20:00:00.0,Call,576.0,-1,0.09
2024-09-27T14:00:00.0,2024-09-27T20:00:00.0,Put,564.0,1,-0.04
2024-09-27T14:00:00.0,2024-09-27T20:00:00.0,Call,581.0,1,-0.01
2024-09-30T14:00:00.0,2024-10-01T20:00:00.0,Put,565.0,-1,0.61
2024-09-30T14:00:00.0,2024-10-01T20:00:00.0,Call,576.0,-1,0.3
2024-09-30T14:00:00.0,2024-10-01T20:00:00.0,Put,559.0,1,-0.14
2024-09-30T14:00:00.0,2024-10-01T20:00:00.0,Call,582.0,1,-0.019999999999999997
2024-10-01T14:00:00.0,2024-10-02T20:00:00.0,Put,562.0,-1,0.56
2024-10-01T14:00:00.0,2024-10-02T20:00:00.0,Call,575.0,-1,0.47000000000000003
2024-10-01T14:00:00.0,2024-10-02T20:00:00.0,Put,556.0,1,-0.25
2024-10-01T14:00:00.0,2024-10-02T20:00:00.0,Call,580.0,1,-0.07
2024-10-02T14:00:00.0,2024-10-03T20:00:00.0,Put,560.0,-1,0.62
2024-10-02T14:00:00.0,2024-10-03T20:00:00.0,Call,573.0,-1,0.48
2024-10-02T14:00:00.0,2024-10-03T20:00:00.0,Put,554.0,1,-0.19
2024-10-02T14:00:00.0,2024-10-03T20:00:00.0,Call,577.0,1,-0.1
2024-10-03T14:00:00.0,2024-10-04T20:00:00.0,Put,560.0,-1,0.68
2024-10-03T14:00:00.0,2024-10-04T20:00:00.0,Call,576.0,-1,0.47
2024-10-03T14:00:00.0,2024-10-04T20:00:00.0,Put,554.0,1,-0.16
2024-10-03T14:00:00.0,2024-10-04T20:00:00.0,Call,583.0,1,-0.01
2024-10-04T14:00:00.0,2024-10-04T20:00:00.0,Put,565.0,-1,0.42
2024-10-04T14:00:00.0,2024-10-04T20:00:00.0,Call,574.0,-1,0.32
2024-10-04T14:00:00.0,2024-10-04T20:00:00.0,Put,559.0,1,-0.09
2024-10-04T14:00:00.0,2024-10-04T20:00:00.0,Call,580.0,1,-0.02
2024-10-07T14:00:00.0,2024-10-08T20:00:00.0,Put,565.0,-1,0.57
2024-10-07T14:00:00.0,2024-10-08T20:00:00.0,Call,576.0,-1,0.33
2024-10-07T14:00:00.0,2024-10-08T20:00:00.0,Put,560.0,1,-0.21999999999999997
2024-10-07T14:00:00.0,2024-10-08T20:00:00.0,Call,584.0,1,-0.01
2024-10-08T14:00:00.0,2024-10-09T20:00:00.0,Put,565.0,-1,0.52
2024-10-08T14:00:00.0,2024-10-09T20:00:00.0,Call,576.0,-1,-0.6799999999999591
2024-10-08T14:00:00.0,2024-10-09T20:00:00.0,Put,559.0,1,-0.16
2024-10-08T14:00:00.0,2024-10-09T20:00:00.0,Call,581.0,1,-0.02
2024-10-10T14:00:00.0,2024-10-11T20:00:00.0,Put,570.0,-1,0.57
2024-10-10T14:00:00.0,2024-10-11T20:00:00.0,Call,581.0,-1,0.33
2024-10-10T14:00:00.0,2024-10-11T20:00:00.0,Put,564.0,1,-0.17
2024-10-10T14:00:00.0,2024-10-11T20:00:00.0,Call,585.0,1,-0.05
2024-10-11T14:00:00.0,2024-10-11T20:00:00.0,Put,574.0,-1,0.29
2024-10-11T14:00:00.0,2024-10-11T20:00:00.0,Call,580.0,-1,0.14
2024-10-11T14:00:00.0,2024-10-11T20:00:00.0,Put,568.0,1,-0.04
2024-10-11T14:00:00.0,2024-10-11T20:00:00.0,Call,584.0,1,-0.01
2024-10-14T14:00:00.0,2024-10-15T20:00:00.0,Put,579.0,-1,0.46
2024-10-14T14:00:00.0,2024-10-15T20:00:00.0,Call,587.0,-1,0.27
2024-10-14T14:00:00.0,2024-10-15T20:00:00.0,Put,573.0,1,-0.13
2024-10-14T14:00:00.0,2024-10-15T20:00:00.0,Call,592.0,1,-0.02
2024-10-16T14:00:00.0,2024-10-17T20:00:00.0,Put,574.0,-1,0.45
2024-10-16T14:00:00.0,2024-10-17T20:00:00.0,Call,584.0,-1,0.32
2024-10-16T14:00:00.0,2024-10-17T20:00:00.0,Put,571.0,1,-0.21
2024-10-16T14:00:00.0,2024-10-17T20:00:00.0,Call,590.0,1,-0.02
2024-10-17T14:00:00.0,2024-10-18T20:00:00.0,Put,579.0,-1,0.49
2024-10-17T14:00:00.0,2024-10-18T20:00:00.0,Call,589.0,-1,0.35
2024-10-17T14:00:00.0,2024-10-18T20:00:00.0,Put,574.0,1,-0.18
2024-10-17T14:00:00.0,2024-10-18T20:00:00.0,Call,595.0,1,-0.03
2024-10-18T14:00:00.0,2024-10-18T20:00:00.0,Put,580.0,-1,0.19
2024-10-18T14:00:00.0,2024-10-18T20:00:00.0,Call,586.0,-1,0.14
2024-10-18T14:00:00.0,2024-10-18T20:00:00.0,Put,574.0,1,-0.03
2024-10-18T14:00:00.0,2024-10-18T20:00:00.0,Call,592.0,1,-0.01
2024-10-21T14:00:00.0,2024-10-22T20:00:00.0,Put,580.0,-1,0.38
2024-10-21T14:00:00.0,2024-10-22T20:00:00.0,Call,588.0,-1,0.21
2024-10-21T14:00:00.0,2024-10-22T20:00:00.0,Put,575.0,1,-0.09
2024-10-21T14:00:00.0,2024-10-22T20:00:00.0,Call,595.0,1,-0.01
2024-10-23T14:00:00.0,2024-10-24T20:00:00.0,Put,576.0,-1,0.32
2024-10-23T14:00:00.0,2024-10-24T20:00:00.0,Call,585.0,-1,0.39
2024-10-23T14:00:00.0,2024-10-24T20:00:00.0,Put,570.0,1,-0.07
2024-10-23T14:00:00.0,2024-10-24T20:00:00.0,Call,590.0,1,-0.02
2024-10-24T14:00:00.0,2024-10-25T20:00:00.0,Put,574.0,-1,0.52
2024-10-24T14:00:00.0,2024-10-25T20:00:00.0,Call,584.0,-1,0.38000000000000006
2024-10-24T14:00:00.0,2024-10-25T20:00:00.0,Put,569.0,1,-0.18
2024-10-24T14:00:00.0,2024-10-25T20:00:00.0,Call,590.0,1,-0.03
2024-10-25T14:00:00.0,2024-10-25T20:00:00.0,Put,580.0,-1,-0.7600000000000364
2024-10-25T14:00:00.0,2024-10-25T20:00:00.0,Call,586.0,-1,0.15
2024-10-25T14:00:00.0,2024-10-25T20:00:00.0,Put,574.0,1,-0.04
2024-10-25T14:00:00.0,2024-10-25T20:00:00.0,Call,590.0,1,-0.01
2024-10-28T14:00:00.0,2024-10-29T20:00:00.0,Put,576.0,-1,0.52
2024-10-28T14:00:00.0,2024-10-29T20:00:00.0,Call,586.0,-1,0.38
2024-10-28T14:00:00.0,2024-10-29T20:00:00.0,Put,569.0,1,-0.12
2024-10-28T14:00:00.0,2024-10-29T20:00:00.0,Call,590.0,1,-0.04
2024-10-29T14:00:00.0,2024-10-30T20:00:00.0,Put,574.0,-1,0.55
2024-10-29T14:00:00.0,2024-10-30T20:00:00.0,Call,585.0,-1,0.36
2024-10-29T14:00:00.0,2024-10-30T20:00:00.0,Put,568.0,1,-0.15
2024-10-29T14:00:00.0,2024-10-30T20:00:00.0,Call,590.0,1,-0.04
2024-10-30T14:00:00.0,2024-10-31T20:00:00.0,Put,575.0,-1,-5.2499999999999725
2024-10-30T14:00:00.0,2024-10-31T20:00:00.0,Call,587.0,-1,0.44
2024-10-30T14:00:00.0,2024-10-31T20:00:00.0,Put,569.0,1,-0.15
2024-10-30T14:00:00.0,2024-10-31T20:00:00.0,Call,591.0,1,-0.09
2024-10-31T14:00:00.0,2024-11-01T20:00:00.0,Put,566.0,-1,0.59
2024-10-31T14:00:00.0,2024-11-01T20:00:00.0,Call,581.0,-1,0.54
2024-10-31T14:00:00.0,2024-11-01T20:00:00.0,Put,560.0,1,-0.13
2024-10-31T14:00:00.0,2024-11-01T20:00:00.0,Call,586.0,1,-0.1
2024-11-01T14:00:00.0,2024-11-01T20:00:00.0,Put,569.0,-1,0.28
2024-11-01T14:00:00.0,2024-11-01T20:00:00.0,Call,576.0,-1,0.28
2024-11-01T14:00:00.0,2024-11-01T20:00:00.0,Put,563.0,1,-0.05
2024-11-01T14:00:00.0,2024-11-01T20:00:00.0,Call,582.0,1,-0.020000000000000004
2024-11-04T15:00:00.0,2024-11-05T21:00:00.0,Put,565.0,-1,0.53
2024-11-04T15:00:00.0,2024-11-05T21:00:00.0,Call,577.0,-1,0.35
2024-11-04T15:00:00.0,2024-11-05T21:00:00.0,Put,559.0,1,-0.19
2024-11-04T15:00:00.0,2024-11-05T21:00:00.0,Call,583.0,1,-0.03
2024-11-05T15:00:00.0,2024-11-06T21:00:00.0,Put,562.0,-1,1.09
2024-11-05T15:00:00.0,2024-11-06T21:00:00.0,Call,584.0,-1,-6.540000000000009
2024-11-05T15:00:00.0,2024-11-06T21:00:00.0,Put,555.0,1,-0.4
2024-11-05T15:00:00.0,2024-11-06T21:00:00.0,Call,591.0,1,0.1300000000000091
2024-11-06T15:00:00.0,2024-11-07T21:00:00.0,Put,578.0,-1,0.73
2024-11-06T15:00:00.0,2024-11-07T21:00:00.0,Call,593.0,-1,-1.939899999999998
2024-11-06T15:00:00.0,2024-11-07T21:00:00.0,Put,572.0,1,-0.27
2024-11-06T15:00:00.0,2024-11-07T21:00:00.0,Call,599.0,1,-0.08
2024-11-07T15:00:00.0,2024-11-08T21:00:00.0,Put,588.0,-1,0.56
2024-11-07T15:00:00.0,2024-11-08T21:00:00.0,Call,600.0,-1,0.38
2024-11-07T15:00:00.0,2024-11-08T21:00:00.0,Put,582.0,1,-0.2
2024-11-07T15:00:00.0,2024-11-08T21:00:00.0,Call,605.0,1,-0.05
2024-11-08T15:00:00.0,2024-11-08T21:00:00.0,Put,594.0,-1,0.18
2024-11-08T15:00:00.0,2024-11-08T21:00:00.0,Call,600.0,-1,0.14
2024-11-08T15:00:00.0,2024-11-08T21:00:00.0,Put,588.0,1,-0.04000000000000001
2024-11-08T15:00:00.0,2024-11-08T21:00:00.0,Call,605.0,1,-0.010000000000000002
2024-11-11T15:00:00.0,2024-11-12T21:00:00.0,Put,594.0,-1,0.43
2024-11-11T15:00:00.0,2024-11-12T21:00:00.0,Call,603.0,-1,0.32
2024-11-11T15:00:00.0,2024-11-12T21:00:00.0,Put,585.0,1,-0.08
2024-11-11T15:00:00.0,2024-11-12T21:00:00.0,Call,607.0,1,-0.04
2024-11-12T15:00:00.0,2024-11-13T21:00:00.0,Put,593.0,-1,0.3499999999999999
2024-11-12T15:00:00.0,2024-11-13T21:00:00.0,Call,603.0,-1,0.4
2024-11-12T15:00:00.0,2024-11-13T21:00:00.0,Put,585.0,1,-0.05
2024-11-12T15:00:00.0,2024-11-13T21:00:00.0,Call,608.0,1,-0.03
2024-11-13T15:00:00.0,2024-11-14T21:00:00.0,Put,592.0,-1,0.37
2024-11-13T15:00:00.0,2024-11-14T21:00:00.0,Call,601.0,-1,0.34
2024-11-13T15:00:00.0,2024-11-14T21:00:00.0,Put,586.0,1,-0.08
2024-11-13T15:00:00.0,2024-11-14T21:00:00.0,Call,605.0,1,-0.04
